# xeCJK source: master 10500b33fe923c914d1e0dcf46005eebbba47e17
# driver: inline-math-matrix.tex
# P: default and 5pt/1pt modes both pass; F: at least one mode fails
# raw totals: false-default 191/272 pass; false-custom 181/272 pass
# raw totals: true-default 182/272 pass; true-custom 164/272 pass
xCJKecglue	command	CMC	WMW	CMW	WMC
false	paren	PFPF	PPPP	PFPF	PPPP
false	ensuremath	PFPF	PPPP	PFPF	PPPP
false	macro	PFPF	PPPP	PFPF	PPPP
false	group	FFFF	PPPP	FFFF	PPPP
false	textbf	FFFF	PPPP	FFFF	PPPP
false	textit	FFFF	PPPP	FFFF	PPPP
false	texttt	FFFF	PPPP	FFFF	PPPP
false	textcolor	FFFP	PPPP	FPFP	FFPP
false	mbox	PFPF	PPPP	PFPF	PPPP
false	makebox	PFPF	PPPP	PFPF	PPPP
false	fbox	FFFP	PPPP	PFFP	PFPP
false	colorbox	FFFP	PPPP	PFFP	PFPP
false	CJKunderline	FFFF	PPPP	FFFF	PPPP
false	CJKunderdot	FFFP	PPPP	PPFP	PPPP
false	CJKsout	FFFF	PPPP	FFFF	PPPP
false	hyperref	PFPF	PPPP	PFPF	PPPP
false	href	PFPF	PPPP	PFPF	PPPP
true	paren	PFPF	PPPP	PFPF	PPPP
true	ensuremath	PFPF	PPPP	PFPF	PPPP
true	macro	PFPF	PPPP	PFPF	PPPP
true	group	FFFF	PPPP	FFFF	PPPP
true	textbf	FFFF	PPPP	FFFF	PPPP
true	textit	FFFF	PPPP	FFFF	PPPP
true	texttt	FFFF	PPPP	FFFF	PPPP
true	textcolor	FFFF	PPPP	FPFP	FFPP
true	mbox	PFPF	PPPP	PFPF	PPPP
true	makebox	PFPF	PPPP	PFPF	PPPP
true	fbox	FFFF	PPPP	PFFP	PFPP
true	colorbox	FFFF	PPPP	PFFP	PFFP
true	CJKunderline	FFFF	PFPF	FFFF	PFFF
true	CJKunderdot	FFFF	PPPP	PFFP	PFPP
true	CJKsout	FFFF	PFPF	FFFF	PFFF
true	hyperref	PFPF	PPPP	PFPF	PPPP
true	href	PFPF	PPPP	PFPF	PPPP
